Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG1-P145,588616,9695761,21,30,1.5,12.18
CG1-P146,587747,9695769,21,30,1.44,19.72
CG1-P148,597648,9688344,21,30,1.46,16.24
CG1-P149,534351,9884437,21,30,1.45,18.56
CG1-P150,532510,9881356,0,30,1.53,8.7
CG1-P151,534346,9884709,21,30,1.47,15.66
CG1-P152,532792,9881304,0,30,1.51,10.44
CG1-P153,537915,9886645,21,30,1.54,6.96
CG1-P154,532921,9882514,21,30,1.5,12.18
CG1-P155,547424,9871393,0,30,1.51,11.02
CG1-P156,533317,9867057,21,30,1.45,18.56
CG1-P157,546747,9875805,21,30,1.54,6.96
CG1-P158,528874,9865156,21,30,1.42,21.46
CG1-P159,536021,9877463,21,30,1.51,10.44
CG1-P160,528898,9865338,11,20,1.51,10.44
CG1-P161,536146,9879104,21,30,1.53,8.7
CG1-P162,546594,9869257,21,30,1.45,17.98
CG1-P163,525554,9875170,21,30,1.47,15.66
CG1-P164,546682,9870118,21,30,1.48,13.92
CG1-P165,525142,9875734,21,30,1.45,17.98
CG1-P166,545820,9871672,11,20,1.41,23.2
CG1-P167,525267,9874721,0,10,1.46,16.24
CG1-P168,546663,9877472,21,30,1.42,22.04
CG1-P169,518219,9875037,21,30,1.25,25.52
CG1-P170,546606,9878341,21,30,1.51,10.44
CG1-P171,519662,9873952,21,30,1.45,18.56
CG1-P172,547684,9878210,21,30,1.56,5.8
CG1-P173,521571,9869395,21,30,1.45,17.4
CG1-P174,526646,9865443,21,30,1.45,18.56
CG1-P175,521510,9869358,21,30,1.4,24.94
CG1-P176,527469,9864408,0,30,1.33,33.64
CG1-P177,529009,9863627,21,30,1.38,26.68
CG1-P178,526599,9876967,21,30,1.32,35.96
CG1-P179,528328,9866954,21,30,1.29,40.02
CG1-P180,526930,9876387,21,30,1.59,1.74
CG1-P182,601116,9739362,21,30,1.33,33.64
CG1-P183,602905,9754271,21,30,1.35,31.9
CG1-P184,600685,9754068,21,30,1.44,19.72
CG1-P185,597171,9761284,11,20,1.41,23.2
CG1-P186,596337,9761833,21,30,1.4,23.78
CG1-P187,602293,9760432,11,20,1.08,79.47
CG1-P188,602010,9760722,0,10,1.3,38.28
CG1-P189,608880,9759026,0,10,1.31,37.7
CG1-P191,510615,9747092,11,20,1.57,4.06
CG1-P192,510152,9750442,21,30,1.58,3.48
CG1-P193,512012,9751423,11,20,1.56,5.22
CG1-P194,602912,9750318,21,30,1.49,12.76
CG1-P195,604342,9762664,0,10,1.25,46.98
CG1-P196,606360,9762869,21,30,1.34,32.48
CG1-P197,606481,9763273,21,30,1.34,32.48
CG1-P198,607478,9774117,11,20,1.35,30.74
CG1-P199,609238,9777797,21,30,1.4,24.36
CG1-P200,608090,9777390,21,30,1.39,25.52
CG1-P201,581887,9746379,21,30,1.57,4.06
CG1-P202,589565,9766255,11,20,1.35,30.74
CG1-P203,589799,9767368,21,30,1.3,30.16
CG1-P204,589817,9757106,11,20,1.39,25.52
CG1-P205,589419,9757614,21,30,1.26,17.4
CG1-P206,636292,9672775,0,30,1.14,26.68
CG1-P207,573570,9707532,0,10,1.56,5.8
CG1-P209,563050,9727201,0,30,1.54,6.96
CG1-P210,592282,9749458,21,30,1.47,15.66
CG1-P211,584303,9745117,21,30,1.54,6.96
CG1-P212,568547,9736097,11,20,1.31,37.7
CG1-P213,568869,9735939,21,30,1.38,26.68
CG1-P214,582389,9713267,21,30,1.59,2.32
CG1-P215,581742,9717297,21,30,1.51,10.44
CG2-P023,665995,9785283,0,30,1.16,37.12
CG2-P025,680046,9790575,0,30,1.45,15.66
CG2-P027,674471,9786557,21,30,1.08,15.08
CG2-P028,677202,9792711,0,30,1.41,13.34
CG2-P029,668055,9796054,0,30,1.46,6.96
CG2-P030,669262,9793537,0,30,1.19,26.68
CG2-P031,667632,9792285,21,30,1.09,18.56
CG2-P032,662266,9795192,21,30,0.99,18.56
CG2-P033,649925,9789880,0,30,1.27,10.44
CG2-P034,660095,9795184,0,30,1.48,13.92
CG2-P035,653382,9788903,21,30,1.19,16.82
CG2-P036,636889,9823672,0,30,1.46,16.82
CG2-P037,634806,9819938,0,12,1.32,35.96
CG2-P038,635228,9820141,12,20,1.42,21.46
CG2-P039,635642,9812480,0,21,1.36,29.58
CG2-P041,637750,9815034,0,17,1.44,19.72
CG2-P042,593183,9831813,0,18,1.56,5.22
CG2-P043,596041,9832137,0,12,1.29,40.02
CG2-P044,591229,9839460,0,12,1.44,19.72
CG2-P045,591727,9832539,0,30,1.42,22.04
CG2-P046,594381,9827614,0,10,1.57,4.64
CG2-P047,592776,9846287,0,10,1.52,37.7
CG2-P048,615895,9863499,11,20,1.25,27.26
CG2-P049,616533,9863125,11,20,1.25,27.26
CG2-P050,626153,9873013,21,30,1.22,19.72
CG2-P051,626464,9872762,21,30,1.07,18.56
CG2-P052,616399,9848059,21,30,1.46,16.82
CG2-P053,617604,9845823,21,30,1.29,45.82
CG2-P054,635795,9865887,21,30,1.26,27.84
CG2-P055,634910,9866905,21,30,0.84,36.54
CG2-P056,628294,9848664,21,30,1.31,23.2
CG2-P057,662226,9839601,21,30,1.11,22.04
