Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
PN5-P144,821360,10016718,0,30,1.28,19.66
PN5-P145,822708,10012846,0,30,1.33,26.51
PN5-P146,819984,10013533,0,30,1.19,20.53
PN5-P147,812971,10000281,21,30,0.94,17.98
PN5-P148,813226,10006490,0,30,1.41,7.71
PN5-P149,815552,10010844,0,30,1.21,20.53
PN5-P150,823502,9997174,21,30,1.23,20.53
PN5-P151,826083,9995821,21,30,1.04,51.33
PN5-P152,827470,9996771,0,30,0.91,36.37
PN5-P153,732799,10008193,21,30,1.59,2.2
PN5-P154,733336,10007731,0,30,0.95,58.58
PN5-P155,733522,10007027,0,30,1.01,21.11
PN5-P156,736464,10000736,0,30,1,13.86
PN5-P157,735374,10001227,0,30,0.99,26.22
PN5-P159,705331,9999027,0,30,0.85,61.43
PN5-P160,707977,9999602,0,30,0.9,52.78
PN5-P161,713393,9996825,0,30,0.96,48.72
PN5-P162,589650,9555987,21,30,1.35,31.67
PN5-P163,590481,9555413,21,30,1.29,40.14
PN5-P164,593329,9556190,21,30,1.3,39.27
PN5-P165,625680,9553828,21,30,1.37,28.02
PN5-P166,625073,9552064,21,30,1.35,31.61
PN5-P167,623731,9552105,21,30,1,31.32
PN5-P168,603271,9552780,21,30,1.03,47.56
PN5-P169,603220,9553451,0,30,1.34,32.42
PN5-P170,605387,9553915,21,30,1.2,55.39
PN5-P171,625820,9570166,0,30,1.4,24.25
PN5-P172,625400,9569623,21,30,1.42,21.4
PN5-P173,625442,9567666,21,30,1.16,63.52
PN5-P174,639405,9553569,11,20,1.49,13.34
PN5-P175,639797,9555151,0,30,1.54,7.77
PN5-P176,640296,9554889,21,30,1.21,5.86
PN5-P177,660123,9566863,21,30,1.3,38.34
PN5-P178,658751,9567598,21,30,1.3,38.75
PN5-P179,657944,9567297,0,30,1.32,35.96
PN5-P180,660610,9561605,21,30,1.14,67
PN5-P181,655956,9562916,21,30,1.4,24.77
PN5-P182,657485,9560837,21,30,1.51,10.96
PN5-P183,646872,9553252,11,20,1.49,13.34
PN5-P184,648124,9553809,21,30,1.53,8.53
PN5-P186,696625,9923247,0,30,1.32,35.73
PN5-P187,692590,9922056,0,30,1.36,29.93
PN5-P188,679357,9931025,0,30,1.12,46.58
PN5-P189,679203,9926076,0,30,1.34,32.48
PN5-P190,676672,9925486,0,30,1.13,21.29
PN5-P191,682869,9920986,0,30,1.22,44.95
PN5-P192,680862,9920013,0,30,1.48,14.68
PN5-P193,681389,9923683,0,30,1.42,21.23
PN5-P195,691380,9909465,0,30,1.47,15.02
PN5-P196,689851,9907844,0,30,1.35,30.86
PN5-P197,677328,9911294,0,30,0.92,28.89
PN5-P198,675194,9904896,0,30,1.33,33.7
PN5-P199,678284,9905060,0,30,1.05,18.1
PN5-P200,679888,9904811,0,30,1.37,28.48
PN5-P201,686563,9908560,0,30,1.08,8.82
PN5-P202,684372,9903804,0,30,1.45,18.1
PN5-P203,665062,9890171,21,30,1.22,17.34
PN5-P204,664677,9888239,0,30,1.41,23.03
PN5-P205,668037,9887195,0,30,1.2,8.47
PN5-P206,677660,9885761,0,30,1.31,36.72
PN5-P207,675966,9886603,0,30,0.99,37.3
PN5-P208,673470,9884273,21,30,1.5,11.72
PN5-P209,736515,10025889,0,30,1.04,19.43
PN5-P210,739469,10026672,21,30,1.35,31.21
PN5-P211,744567,10026210,21,30,1.08,21.23
PN5-P212,775055,10044689,0,30,1.18,26.62
PN5-P213,775778,10042836,0,30,1.13,20.36
PN5-P214,807381,10074876,0,30,1.25,19.08
PN5-P216,814169,10073234,21,30,1.39,26.39
PN5-P217,819249,10062275,21,30,1,4.76
PN5-P218,818639,10059119,0,30,0.77,4.47
PN5-P219,818239,10055024,0,30,1.42,21.81
PN5-P220,796236,10031917,21,30,0.92,29.58
PN5-P221,798036,10031065,0,30,1.1,15.37
PN5-P222,801326,10028559,21,30,1.49,13.11
PN5-P223,805371,10038542,0,30,1.47,15.02
PN5-P224,806881,10039864,21,30,1.46,17.34
PN5-P225,806951,10040503,0,30,1.33,17.34
PN5-P226,809579,10025270,21,30,1.26,45.24
PN5-P227,809328,10025855,0,30,1.51,10.67
PN5-P228,809446,10027179,21,30,0.97,13.57
PN5-P229,824375,10040229,21,30,1.47,15.02
PN5-P230,823427,10040331,0,30,1.34,21.06
PN5-P231,824009,10042043,0,30,1.51,11.19
PN5-P232,627690,9976340,0,30,1.03,53.71
PN5-P233,627744,9976385,0,30,1.15,21.52
PN5-P234,660138,9952352,0,30,1.15,19.14
PN5-P235,663010,9959106,0,30,0.89,23.09
PN5-P236,666590,9979507,0,30,0.96,33.58
PN5-P237,657124,9980782,0,30,1.32,19.32
PN5-P238,658171,9979906,0,30,1.27,20.53
PN5-P239,661293,9978347,0,30,0.87,37.99
PN5-P240,663492,9980286,0,30,1.18,15.31
PN5-P241,662731,9981700,0,30,1.1,23.03
PN6-P001,524999,9761419,21,30,1.51,10.44
PN6-P002,563180,9753079,21,30,1.36,30.16
PN6-P003,556909,9739960,0,30,1.52,9.28
PN6-P004,559187,9730848,21,30,1.38,26.68
PN6-P005,539589,9754019,21,30,1.54,7.54
PN6-P006,530625,9754637,11,20,1.53,8.7
PN6-P007,529111,9752980,21,30,1.57,4.06
PN6-P008,531138,9752020,11,20,1.57,4.06
PN6-P009,523920,9760349,21,30,1.49,12.76
PN6-P010,523954,9760105,21,30,1.59,2.32
PN6-P011,546733,9752430,0,10,1.59,1.74
PN6-P012,570276,9770886,21,30,1.32,35.96
PN6-P013,549298,9777738,21,30,1.48,14.5
PN6-P014,549374,9778074,21,30,1.48,13.92
PN6-P015,549516,9778486,0,30,1.52,9.28
PN6-P016,538550,9795668,21,30,1.4,23.78
PN6-P017,538268,9795083,21,30,1.32,35.38
PN6-P018,537998,9794173,21,30,1.37,29
PN6-P019,536261,9774857,21,30,1.46,16.24
PN6-P020,530896,9780142,21,30,1.48,13.92
PN6-P021,546898,9774266,21,30,1.54,6.96
PN6-P022,675737,9517550,21,30,1.4,24.36
PN6-P023,676005,9518422,0,30,1.48,13.92
PN6-P024,675728,9528383,21,30,1.25,46.4
PN6-P025,675490,9527734,21,30,1.45,18.56
PN6-P026,676787,9520328,21,30,1.35,31.9
PN6-P027,676102,9521712,0,10,1.35,31.9
PN6-P028,677532,9525313,21,30,1.41,22.62
PN6-P029,677827,9524634,21,30,1.31,37.12
PN6-P030,678363,9523453,21,30,1.36,29.58
PN6-P031,672327,9522099,11,20,1.48,13.92
PN6-P032,631179,9893698,0,30,1.47,15.66
PN6-P033,630810,9893513,21,30,1.37,28.42
PN6-P034,609016,9877463,0,30,1.48,14.5
PN6-P035,607852,9877731,0,30,1.42,22.04
PN6-P036,623952,9883500,21,30,1.23,49.3
PN6-P037,622810,9882475,21,30,1.31,37.7
PN6-P038,631079,9886004,21,30,1.45,17.98
PN6-P039,631569,9885744,0,30,1.46,16.24
PN6-P040,660485,9872307,21,30,1.39,25.52
PN6-P041,656678,9869763,0,30,1.27,8.7
PN6-P042,663735,9856833,21,30,1.35,31.67
PN6-P043,667407,9857623,0,30,1.26,13.69
PN6-P044,588888,9947517,0,30,1.35,30.74
PN6-P045,586304,9950758,21,30,1.43,20.3
PN6-P046,600651,9969844,21,30,1.39,25.52
PN6-P048,596155,9968376,0,30,1.33,34.8
PN6-P049,590739,9964930,21,30,1.47,15.08
PN6-P051,591994,9965094,0,30,1.4,23.78
PN6-P052,592267,9955033,21,30,1.42,22.22
PN6-P054,588717,9964626,0,30,1.09,28.83
PN6-P055,588349,9963970,21,30,1.44,19.78
PN6-P056,588207,9962849,21,30,1.36,30.45
PN6-P057,586778,9960489,21,30,1.34,32.95
PN6-P059,589017,9957833,21,30,1.39,26.33
PN6-P060,581630,9951885,0,30,1.08,17.29
PN6-P061,518879,9822066,0,30,1.07,9.28
PN6-P062,518861,9821434,0,30,1.43,20.3
PN6-P063,524351,9812621,21,30,1.16,63.81
PN6-P064,522726,9811679,21,30,1.3,38.86
PN6-P065,517298,9823548,21,30,1.13,7.54
PN6-P066,521150,9815458,0,30,1.19,11.02
PN6-P067,521394,9815872,21,30,1.48,14.5
PN6-P068,518691,9819320,21,30,1.53,8.12
PN6-P069,520041,9819651,11,20,1.35,31.32
PN6-P070,519580,9817981,0,30,1.45,18.56
PN6-P071,526878,9838169,21,30,1.56,5.22
PN6-P072,526406,9838603,21,30,1.51,11.02
PN6-P073,530208,9838522,0,30,1.49,12.76
PN6-P074,529425,9838366,0,30,1.5,11.6
PN6-P075,529543,9837851,0,30,1.52,9.28
PN6-P076,527868,9837055,21,30,1.01,26.68
PN6-P077,524574,9825913,21,30,1.47,15.66
PN6-P078,524862,9825451,21,30,1.39,26.1
PN6-P079,525813,9824827,0,30,1.17,15.08
PN6-P080,527965,9823552,21,30,1.46,16.82
PN6-P081,527073,9817365,0,30,1.36,29.58
PN6-P082,752714,9772278,21,30,1.25,6.84
PN6-P083,752284,9772334,21,30,1.39,6.38
PN6-P084,752123,9772692,21,30,1.08,6.84
PN6-P085,750990,9777249,21,30,1.51,10.44
PN6-P086,749952,9777895,11,20,1.55,5.97
PN6-P087,752544,9780388,21,30,1.53,8.7
PN6-P088,764151,9776002,0,30,1.27,14.56
PN6-P089,765103,9772954,0,30,1.29,9.4
PN6-P090,769167,9764357,0,30,1.06,62.06
PN6-P091,753289,9785701,0,30,1.48,7.54
PN6-P092,753667,9785033,0,30,1.52,9.28
PN6-P093,754307,9785598,11,20,1.38,7.54
PN6-P094,753794,9794551,21,30,1.39,25.7
PN6-P095,750300,9802989,21,30,1.4,23.96
PN6-P096,750496,9803607,0,30,1.4,23.96
PN6-P097,751848,9803399,11,20,1.42,22.27
PN6-P098,751639,9803588,21,30,1.41,23.09
PN6-P099,750696,9804226,21,30,1.32,35.09
PN6-P100,722528,9797819,0,30,0.94,62.06
PN6-P101,724085,9788474,0,30,0.98,49.25
PN6-P102,751362,9816236,11,20,1.54,7.71
PN6-P103,751574,9816467,21,30,1.52,10.27
PN6-P104,752637,9814584,21,30,1.5,12.01
PN6-P105,749817,9815231,0,30,1.29,17.98
PN6-P106,781502,9976066,0,30,1.41,23.09
PN6-P107,783045,9972239,0,30,1.45,32.54
PN6-P108,781577,9973197,21,30,1.38,27.38
PN6-P109,782727,9974691,21,30,1.26,6.84
PN6-P110,782618,9974909,21,30,1.16,18.56
PN6-P111,782626,9974116,0,30,1.08,11.6
PN6-P112,781482,9971281,0,30,1.38,25.7
PN6-P113,780589,9971615,21,30,1.55,5.97
PN6-P114,777086,9970242,0,30,1.41,8.58
PN6-P115,784284,9971504,21,30,1.42,13.69
PN6-P116,784350,9970248,21,30,1.49,14.56
PN6-P117,783970,9969380,0,30,1.25,9.4
PN6-P118,777813,9965821,21,30,1.48,9.4
PN6-P119,778023,9963221,21,30,1.3,11.14
PN6-P120,778282,9962620,0,30,1.49,6.84
PN6-P121,777864,9964719,21,30,1.44,17.11
PN6-P122,777268,9960899,0,30,1.31,23.96
PN6-P123,779248,9959924,0,30,1.45,2.32
PN6-P124,781250,9960652,21,30,0.83,35.38
PN6-P125,781678,9956875,21,30,1.38,26.51
PN6-P126,779595,9954746,0,30,0.92,33.41
PN6-P127,778161,9956141,0,30,1.15,77.15
PN6-P128,780040,9958699,21,30,1.4,16.24
PN6-P129,779304,9957607,21,30,1.45,17.98
PN6-P130,779062,9958128,21,30,1.04,23.09
PN6-P131,779234,9958702,21,30,1.27,22.27
PN6-P132,694992,10033753,21,30,0.94,60.9
PN6-P133,702365,10033745,0,30,0.99,67.29
PN6-P134,697873,10033476,21,30,1.01,66.71
PN6-P135,689205,10005670,21,30,0.9,55.68
PN6-P136,687171,10005029,0,30,1.02,48.14
PN6-P137,693658,10008078,0,30,0.96,52.78
PN6-P138,698926,10013712,21,30,0.97,32.48
PN6-P139,702288,10010020,0,30,1.09,38.28
PN6-P140,695561,9570706,21,30,1.43,20.53
PN6-P141,689545,9567922,11,20,1.32,35.03
PN6-P142,674232,9576161,21,30,1.28,42.34
PN6-P143,676497,9569134,11,20,1.29,40.02
PN6-P144,691179,9569476,11,20,1.42,21.64
PN6-P145,690265,9563630,11,20,1.41,23.03
PN6-P146,701889,9517577,11,20,1.24,47.91
PN6-P147,692659,9524012,21,30,1.22,21.64
PN6-P148,693633,9529521,11,20,1.48,14.5
PN6-P149,693887,9529836,11,20,1.48,13.92
PN6-P150,689569,9536130,21,30,1.31,36.72
PN6-P151,691427,9534619,21,30,1.47,16.01
PN6-P152,691080,9534136,0,30,1.55,6.32
PN6-P153,691025,9565643,21,30,1.49,13.4
PN6-P154,690638,9563540,21,30,1.41,22.97
PN6-P155,701187,9560212,0,30,1.15,21.81
PN6-P156,701659,9560429,21,30,1.28,42.52
PN6-P157,692478,9920115,21,30,1.07,16.59
PN6-P158,691746,9921097,21,30,1.34,32.89
PN6-P159,688107,9919249,21,30,1.4,24.54
PN6-P161,682449,9940199,21,30,0.88,32.71
PN6-P162,677314,9936672,21,30,1.36,29.18
PN6-P163,683537,9917783,11,20,1.51,10.85
PN6-P164,684279,9917145,0,30,0.91,29.35
PN6-P165,685570,9911324,21,30,1.37,28.83
PN6-P166,683076,9910167,21,30,1.44,19.72
PN6-P167,680253,9912559,0,30,1.46,16.82
PN6-P168,684863,9914644,21,30,1.3,38.28
PN6-P169,660805,9910707,21,30,1.34,32.77
PN6-P170,665048,9911954,21,30,1.5,11.54
PN6-P171,670626,9911876,0,30,1.37,29
PN6-P172,693995,9908650,21,30,1.28,42.46
PN6-P173,694492,9907622,21,30,1.39,25.12
PN6-P174,691138,9901998,21,30,1.47,15.2
PN6-P175,682378,9891546,21,30,1.35,30.8
PN6-P178,675457,9869177,21,30,1.3,38.98
PN6-P180,673596,9874805,21,30,1.21,53.31
PN6-P181,745962,10029120,0,30,0.76,49.48
PN6-P182,745484,10027646,0,30,0.62,49.71
PN6-P183,745825,10027429,0,30,1.24,47.74
PN6-P184,771013,10033706,0,30,1.36,11.66
PN6-P185,777039,10040678,0,30,0.95,44.78
PN6-P186,812142,10071343,21,30,1.52,10.15
PN6-P187,812544,10069998,11,20,1.35,31.32
PN6-P188,813691,10070649,11,20,1.34,33.06
PN6-P189,819801,10056614,21,30,1.33,5.51
PN6-P190,821256,10056077,21,30,1.4,8.58
PN6-P191,801632,10017710,0,30,0.86,59.51
PN6-P192,801991,10018195,0,30,1.19,56.73
PN6-P193,802840,10022292,21,30,1.5,12.06
PN6-P194,824632,10042795,21,30,1.42,21.98
PN6-P195,827173,10037179,0,30,1.12,29.99
PN6-P196,826299,10039833,0,30,1.36,25.46
PN6-P198,812935,10015903,0,30,1.16,25.99
PN6-P199,812075,10018775,0,30,1.21,25.46
PN6-P200,804797,10035129,0,30,1.33,16.36
PN6-P201,814907,10034803,0,30,1.52,9.92
PN6-P202,614608,9979932,21,30,1.04,19.37
PN6-P203,629759,9995751,0,30,1.15,20.36
PN6-P204,606247,9957765,0,30,1.31,17.34
PN6-P205,603384,9953990,21,30,1.29,25.7
PN6-P206,606494,9940651,0,30,1.19,12.76
PN6-P207,604131,9936159,0,30,1.35,7.71
PN6-P208,602693,9938537,0,30,1.29,24.65
PN6-P209,600593,9925242,21,30,1.23,23.78
PN6-P210,600367,9924710,0,30,1.02,27.61
PN7-P001,519118,9743348,21,30,1.59,2.32
PN7-P002,566697,9752326,0,30,1.42,22.04
PN7-P003,561977,9751268,21,30,1.34,32.48
PN7-P004,552040,9751421,0,30,1.51,10.44
PN7-P005,549582,9751266,0,30,1.49,12.76
PN7-P006,566332,9714845,21,30,1.57,4.06
PN7-P007,566265,9714732,21,30,1.52,9.28
PN7-P008,544390,9743476,0,30,1.56,5.22
PN7-P009,537053,9744328,21,30,1.53,8.7
PN7-P010,532462,9743952,0,30,1.58,3.48
PN7-P011,524505,9746057,21,30,1.52,9.28
PN7-P012,531078,9772838,0,30,1.53,8.7
PN7-P013,562338,9773866,21,30,1.42,21.46
PN7-P014,561578,9775149,21,30,1.49,12.82
PN7-P015,560756,9775673,0,30,1.47,15.43
PN7-P016,560740,9775670,21,30,1.54,6.96
PN7-P017,544926,9795740,11,20,1.36,30.16
PN7-P018,535834,9767225,21,30,1.53,8.7
PN7-P019,536653,9767943,0,30,1.58,3.48
PN7-P020,534748,9779666,11,20,1.53,8.7
PN7-P021,535395,9780016,21,30,1.53,8.7
PN7-P022,536419,9779271,0,30,1.56,5.8
PN7-P023,536491,9787746,0,30,1.51,10.44
PN7-P024,772777,9801839,0,30,1.45,17.4
PN7-P025,772373,9801934,0,30,1.93,25.52
PN7-P026,772417,9802016,21,30,1.21,52.78
PN7-P027,770007,9803993,0,30,2.12,31.9
PN7-P028,768537,9804581,21,30,2.36,29
PN7-P029,768962,9803868,0,30,1.5,12.18
PN7-P030,768978,9803841,21,30,1.44,19.72
PN7-P031,765335,9809099,0,30,1.38,27.26
PN7-P032,765650,9809333,0,30,1.53,8.7
PN7-P033,765622,9809284,0,30,1.57,4.64
PN7-P034,764742,9808439,0,30,1.51,10.44
PN7-P035,750361,9831448,0,30,1.48,14.5
PN7-P036,750678,9831851,0,30,1.48,14.5
PN7-P037,749995,9829528,0,30,1.45,17.4
PN7-P038,775499,9833953,0,30,1.45,17.98
PN7-P039,775897,9832965,0,30,1.56,5.22
PN7-P040,766723,9822086,0,30,1.6,0.58
PN7-P041,763877,9829616,0,30,1.29,40.6
PN7-P042,765036,9828619,0,30,1.53,8.7
PN7-P043,759374,9830995,0,30,1.33,33.64
PN7-P044,758464,9829349,0,30,1.33,34.22
PN7-P046,604536,9870123,0,30,1.45,17.98
PN7-P047,603277,9869805,21,30,1.45,17.98
PN7-P049,594751,9872620,0,10,1.47,15.66
PN7-P050,587076,9871707,21,30,1.48,14.5
PN7-P051,569628,9869181,0,10,1.44,19.72
PN7-P052,569943,9868575,21,30,1.47,15.66
PN7-P053,579921,9858273,21,30,1.56,5.8
PN7-P054,579276,9858889,21,30,1.54,7.54
PN7-P055,577735,9859663,21,30,1.31,36.54
PN7-P056,579441,9872706,21,30,1.48,14.5
PN7-P057,576392,9873318,0,30,1.45,17.98
PN7-P058,604468,9877481,11,20,1.45,17.98
PN7-P059,603398,9877626,0,30,1.5,12.18
PN7-P060,574661,9860813,21,30,1.58,3.48
PN7-P061,569309,9963740,0,30,1.45,17.98
PN7-P062,570445,9960852,21,30,1.48,13.92
PN7-P063,568820,9960533,0,30,1.48,13.92
PN7-P064,578702,9950676,21,30,1.49,13.34
PN7-P065,575846,9950019,21,30,1.37,29
PN7-P066,573343,9953076,0,30,1.41,23.2
PN7-P067,566016,9946411,0,30,1.4,24.94
PN7-P068,567581,9946986,0,30,1.45,17.4
PN7-P069,566831,9945497,0,30,1.43,20.59
PN7-P071,575171,9947588,0,10,1.47,15.08
PN7-P072,571343,9942420,21,30,1.34,33.06
PN7-P073,567412,9957163,0,30,1.52,9.28
PN7-P074,581896,9945704,21,30,1.45,17.98
PN7-P075,568617,9929316,21,30,1.56,5.8
PN7-P077,568800,9957025,11,20,1.52,9.28
PN7-P078,571345,9957597,0,30,1.49,13.34
PN7-P079,564611,9936577,21,30,1.52,9.86
PN7-P080,563013,9940565,0,30,1.51,10.44
PN7-P081,562275,9942399,21,30,1.59,1.74
PN7-P082,546611,9811055,21,30,1.33,34.22
PN7-P083,542495,9821729,21,30,1.33,33.58
PN7-P084,547873,9821142,21,30,1.4,24.36
PN7-P085,541040,9816813,11,20,1.4,24.36
PN7-P086,540354,9816057,0,10,1.4,24.36
PN7-P087,540552,9816229,0,10,1.43,21
PN7-P088,541976,9818457,21,30,1.32,35.27
PN7-P089,565194,9836326,21,30,1.45,18.45
PN7-P090,560939,9841555,21,30,1.47,15.95
PN7-P091,561748,9837485,21,30,1.4,24.36
PN7-P092,557190,9841921,21,30,1.34,32.71
PN7-P093,556099,9842033,21,30,1.24,48.26
PN7-P094,553463,9847684,21,30,1.36,30.22
PN7-P095,529603,9849530,0,30,1.47,15.95
PN7-P096,529977,9850755,21,30,1.48,14.27
PN7-P097,529303,9852221,21,30,1.48,14.27
PN7-P098,551368,9867758,21,30,1.46,16.76
PN7-P099,547333,9868955,21,30,1.43,21
PN7-P100,548264,9868844,21,30,1.42,21.81
PN7-P101,552632,9861092,0,30,1.45,17.63
PN7-P102,550784,9861136,21,30,1.38,26.86
PN7-P103,803297,9725698,21,30,1.31,37.65
PN7-P104,805067,9724675,21,30,1.42,22.27
PN7-P105,808107,9724691,0,30,1.39,25.7
PN7-P106,811367,9731695,21,30,1.55,6.84
PN7-P107,807615,9728464,21,30,1.09,77.15
PN7-P108,810240,9729567,0,10,1.35,30.74
PN7-P109,821714,9731399,0,30,1.51,10.44
PN7-P110,822496,9724863,0,30,0.86,37.7
PN7-P111,822163,9731366,0,30,1.41,23.2
PN7-P112,819427,9723061,0,30,1.38,26.68
PN7-P114,816387,9727040,0,30,1.5,12.18
PN7-P115,819460,9728417,21,30,1.2,55.68
PN7-P116,814137,9729474,21,30,1.4,23.78
PN7-P117,810494,9725679,0,30,1.37,29
PN7-P118,808292,9721827,0,30,1.5,12.18
PN7-P119,809020,9723243,21,30,1.35,31.9
PN7-P120,808547,9729123,21,30,1.29,40.26
PN7-P121,809011,9724073,0,30,1.33,34.22
PN7-P122,817116,9718161,0,30,1.36,29.99
PN7-P123,817427,9719466,0,30,1.26,44.95
PN7-P124,815130,9713921,0,30,0.78,36.83
PN7-P125,813611,9719238,11,20,1.3,38.52
PN7-P126,813459,9719253,21,30,1.31,36.83
PN7-P127,792053,9956453,0,30,1.42,13.69
PN7-P128,793108,9959461,0,30,1.22,9.4
PN7-P129,796344,9957619,0,30,1.19,59.74
PN7-P130,802643,9976378,0,30,1.15,30.8
PN7-P131,803188,9974061,0,30,1.02,35.38
PN7-P132,799832,9973043,0,30,1.24,29.99
PN7-P133,799385,9975030,0,30,1.57,12.82
PN7-P134,801603,9968846,0,30,1.38,17.98
PN7-P135,801529,9969482,0,30,0.94,62.06
PN7-P136,803456,9970871,0,30,1.14,28.25
PN7-P137,804513,9970202,0,30,1.06,66.13
PN7-P138,801656,9970635,0,30,1.31,36.54
PN7-P139,801194,9971153,0,30,1.24,29.12
PN7-P140,800854,9971746,0,30,1.4,23.96
PN7-P141,799100,9972149,0,30,1.22,24.83
PN7-P142,798138,9974956,0,30,1.49,13.69
PN7-P143,795318,9974216,0,30,1.38,11.14
PN7-P144,795965,9972681,0,30,1.23,85.85
PN7-P145,796986,9971889,0,30,1.46,17.11
PN7-P146,794580,9971758,21,30,1.52,10.27
PN7-P147,800507,9967225,0,30,1.54,14.56
PN7-P148,798530,9967651,21,30,1.4,23.96
PN7-P149,796080,9969224,0,30,1.31,12.82
PN7-P150,800677,9966196,0,30,1.07,66.13
PN7-P151,799739,9965992,21,30,1.09,77.15
PN7-P152,798093,9966444,0,30,1.34,24.83
PN7-P153,795336,9966260,21,30,1.5,12.01
PN7-P154,796596,9961204,0,30,1.45,17.98
PN7-P155,795970,9962187,21,30,1.49,12.82
PN7-P156,796115,9964979,11,20,1.46,13.69
PN7-P157,795003,9967994,0,30,1.15,5.97
PN7-P158,720591,10028131,0,30,0.95,59.8
PN7-P159,720393,10028401,21,30,0.96,42.69
PN7-P160,720051,10028611,0,30,0.94,80.74
PN7-P161,707235,10013839,0,30,0.99,23.26
PN7-P162,706507,10011078,0,30,0.94,39.79
PN7-P163,709487,10009641,0,30,0.97,38.28
PN7-P164,711213,10006149,0,30,0.94,62.99
PN7-P165,711158,10006559,0,30,1.06,21.64
PN7-P166,716268,10007056,0,30,0.91,44.72
PN7-P167,588771,9555522,0,30,1.38,27.55
PN7-P168,588524,9558198,0,30,1.33,34.11
PN7-P169,584910,9554942,0,30,1.54,7.71
PN7-P172,599579,9565190,21,30,1.18,31.73
PN7-P173,611619,9563058,21,30,1.33,33.82
PN7-P174,612062,9561788,21,30,1.38,26.62
PN7-P175,611309,9561935,21,30,1.37,28.31
PN7-P176,627061,9571583,21,30,1.31,36.37
PN7-P177,626941,9572005,21,30,1.43,21.11
PN7-P178,626405,9564751,0,30,1.21,57.37
PN7-P180,635281,9553253,0,30,1.51,10.44
PN7-P181,635172,9553720,11,20,1.48,13.86
PN7-P182,649424,9543768,0,30,1.04,55.92
PN7-P183,649173,9547165,21,30,1.3,38.34
PN7-P184,648344,9546892,21,30,1.33,33.87
PN7-P185,652435,9564572,21,30,1.32,36.02
PN7-P186,651845,9564328,21,30,1.34,32.02
PN7-P187,651490,9562676,0,30,1.41,23.26
PN7-P188,656574,9557520,21,30,1.14,15.49
PN7-P189,654043,9556601,21,30,1.4,25
PN7-P190,700767,9919949,0,30,0.96,11.14
PN7-P191,695694,9918744,0,30,1.51,10.9
PN7-P192,681803,9936771,0,30,1.42,22.39
PN7-P193,674067,9932366,0,30,1.47,15.49
PN7-P194,673706,9934287,0,30,0.78,49.42
PN7-P195,694075,9914774,0,30,1.33,33.58
PN7-P196,689543,9919016,0,30,1.37,28.65
PN7-P197,688698,9918009,0,30,1.34,32.08
PN7-P198,673030,9915613,0,30,0.79,29.47
PN7-P199,673144,9911886,0,30,1.31,36.54
PN7-P200,671483,9911133,21,30,1.4,24.65
PN7-P201,673166,9904542,0,30,1.48,14.79
PN7-P202,671364,9900746,0,30,1.54,8
PN7-P203,672288,9906416,0,30,1.44,18.74
PN7-P204,671871,9902375,0,30,1.38,26.57
PN7-P205,670370,9902834,0,30,1.48,14.15
PN7-P206,672216,9899247,21,30,1.38,26.51
PN7-P207,668900,9897425,0,30,1.44,19.43
PN7-P208,668252,9897573,0,30,1.42,21.46
PN7-P209,672020,9893224,0,30,1,22.16
PN7-P210,675261,9872864,0,30,1.37,28.6
PN7-P211,675802,9876185,0,30,1.33,33.53
PN7-P212,816698,10080544,0,30,1.13,69.61
PN7-P213,816556,10079623,0,30,1.06,83.93
PN7-P214,815379,10078277,21,30,1.47,15.78
PN7-P215,829649,10054762,0,30,1.57,4.52
PN7-P216,831910,10053179,0,30,1.53,8.76
PN7-P217,831421,10052539,21,30,1.32,35.44
PN7-P218,830154,10053022,11,20,1.57,3.89
PN7-P219,844117,10064519,0,30,0.61,71.93
PN7-P220,845528,10062027,0,30,1.44,19.72
PN7-P221,842799,10059445,0,10,1.35,30.63
PN7-P222,836129,10063979,0,30,1.47,15.84
PN7-P223,836708,10066388,21,30,1.39,26.04
PN7-P225,838263,10066683,21,30,1.09,13.52
PN7-P226,839159,10074486,0,30,1.04,46.64
PN7-P227,836516,10077011,0,30,1.03,91.65
PN7-P228,838154,10076444,0,30,1.36,29.58
PN7-P229,872807,10077698,0,30,0.85,41.3
PN7-P230,871892,10077745,0,15,0.4,183.06
PN7-P231,870729,10078572,0,15,0.89,140.31
PN7-P232,870331,10080022,0,30,1.01,97.39
PN7-P233,811832,10107774,0,30,0.58,62.24
PN7-P234,814437,10103189,21,30,0.99,35.27
PN7-P235,816575,10102028,21,30,0.66,50.7
PN7-P236,825984,10097772,21,30,0.35,93.5
PN7-P237,861463,10091010,0,30,0.88,77.38
PN7-P238,860868,10090464,0,30,1.09,64.39
PN7-P239,627503,9947473,11,20,1.41,22.74
PN7-P240,619686,9954828,11,20,1.43,20.01
PN7-P241,623504,9955898,0,30,1.45,17.69
PN7-P242,654093,9956051,21,30,1.51,11.19
PN7-P243,659992,9963306,21,30,1.34,32.77
PN7-P244,672520,9977776,0,30,1.39,26.22
PN7-P245,672557,9977673,0,30,1.3,38.57
PN7-P246,676212,9977840,0,30,1.28,42.11
PN7-P247,652662,9968331,21,30,1.55,6.21
PN7-P248,652662,9968330,21,30,1.55,6.21
PN7-P249,651611,9964953,21,30,1.44,19.14
PN7-P288,745600,10126943,0,30,0.85,77.15
PN7-P294,711213,10117250,0,30,0.94,62.99
PN8-P001,565917,9719370,0,30,1.51,10.44
